StartDate,EndDate,HistoricPresent
1-Jan,7-Jan,0.0032
8-Jan,14-Jan,0.0032
15-Jan,21-Jan,0.013
22-Jan,28-Jan,0.013
29-Jan,4-Feb,0.0691
5-Feb,11-Feb,0.1313
12-Feb,18-Feb,0.1486
19-Feb,25-Feb,0.1459
26-Feb,4-Mar,0.128
5-Mar,11-Mar,0.0977
12-Mar,18-Mar,0.1549
19-Mar,25-Mar,0.0802
26-Mar,1-Apr,0.0147
2-Apr,8-Apr,0
9-Apr,15-Apr,0
16-Apr,22-Apr,0
23-Apr,1-Jun,0
