Date,Survival Overall Est,Survival Overall LCL 80,Survival Overall UCL 80,Survival Sacramento Est,Survival Sacramento LCL 80,Survival Sacramento UCL 80,Survival Yolo Est,Survival Yolo LCL 80,Survival Yolo UCL 80,Survival Sutter Est,Survival Sutter LCL 80,Survival Sutter UCL 80,Survival Steamboat Est,Survival Steamboat LCL 80,Survival Steamboat UCL 80,Survival Interior Delta Est,Survival Interior Delta LCL 80,Survival Interior Delta UCL 80,Routing Probability Sacramento Est,Routing Probability Sacramento LCL 80,Routing Probability Sacramento UCL 80,Routing Probability Yolo Est,Routing Probability Yolo LCL 80,Routing Probability Yolo UCL 80,Routing Probability Sutter Est,Routing Probability Sutter LCL 80,Routing Probability Sutter UCL 80,Routing Probability Steamboat Est,Routing Probability Steamboat LCL 80,Routing Probability Steamboat UCL 80,Routing Probability Interior Delta Est,Routing Probability Interior Delta LCL 80,Routing Probability Interior Delta UCL 80,Median Travel Time Overall Est,Median Travel Time Overall LCL 80,Median Travel Time Overall UCL 80,Median Travel Time Sacramento Est,Median Travel Time Sacramento LCL 80,Median Travel Time Sacramento UCL 80,Median Travel Time Yolo Est,Median Travel Time Yolo LCL 80,Median Travel Time Yolo UCL 80,Median Travel Time Sutter Est,Median Travel Time Sutter LCL 80,Median Travel Time Sutter UCL 80,Median Travel Time Steamboat Est,Median Travel Time Steamboat LCL 80,Median Travel Time Steamboat UCL 80,Median Travel Time Interior Delta Est,Median Travel Time Interior Delta LCL 80,Median Travel Time Interior Delta UCL 80
2025-10-01,0.0582640367757407,0.0178472220916485,0.11358665317945,0.0608655380363932,0.0175754351963964,0.119501344245092,NA,NA,NA,0.0801343111821957,0.0215744265507099,0.161323132068827,0.057395111341391,0.0128886678109788,0.123102007599081,0.0239570227966249,0.00403318212794861,0.0547751953201943,0.601092173663885,0.568143579332554,0.633197896057208,0,0,0,0.135893961669324,0.114688420658305,0.158515293876855,0.135334033055401,0.116129628320845,0.155117870620903,0.127679831611389,0.104002197469667,0.153088154463956,6.53281599502016,6.34371022922327,6.70915960784233,6.033,6,6,NA,NA,NA,6.139,6,7,5.971,6,6,9.898,9,11
2025-10-02,0.0755359941757608,0.0280677806756,0.137151414919988,0.0792035557191281,0.0271142602152013,0.145779295585188,NA,NA,NA,0.102409864719465,0.0329347102517885,0.193181492938437,0.0746424571965697,0.0205942680983861,0.151156929975544,0.030987323771697,0.00629251840229196,0.0672838874529016,0.601282736697471,0.568475436076894,0.633317027994901,0,0,0,0.1358693887019,0.11471069107315,0.158444989470882,0.135214355557541,0.116055198415535,0.154845888205691,0.127633519043088,0.104016102926055,0.153045996367694,6.50050487169658,6.33197164481502,6.6702013075649,6.013,6,6,NA,NA,NA,6.107,6,7,5.939,6,6,9.807,9,11
2025-10-03,0.108196589656971,0.0512282605440489,0.173010363156038,0.113609739774688,0.0505281771081133,0.190490987829968,NA,NA,NA,0.146198490485759,0.0599250694338932,0.252776976888443,0.1067314865311,0.0363700306723275,0.199514158041149,0.04431406343299,0.0111634821919136,0.0922900852053986,0.601342576029414,0.568636282791719,0.633241969298841,0,0,0,0.135862243308666,0.114709378507417,0.158468433909759,0.135166888519523,0.116043780919589,0.154714471869091,0.127628292142397,0.104014496279961,0.153211583980378,6.4168539089817,6.2420516166731,6.6040645311679,5.975,6,6,NA,NA,NA,6.021,6,6,5.757,5,6,9.616,9,10
2025-10-04,0.126675985893724,0.067082197780519,0.19266165943556,0.132864145343446,0.064918185968518,0.213534997321401,NA,NA,NA,0.172062404498372,0.0767676684130795,0.28333938154202,0.124665187790273,0.0454033050344546,0.225519976009499,0.0519300442926886,0.0137487928800364,0.106733600445664,0.601253390373926,0.568420324959134,0.633484622706424,0,0,0,0.135877907409008,0.114674811357691,0.158424009250575,0.135210112666084,0.11610640643732,0.154775340897197,0.127658589550982,0.103982278483193,0.153473421789414,6.33224383012593,6.08303341069815,6.56540911580356,5.903,6,6,NA,NA,NA,5.99,6,6,5.594,5,6,9.499,9,10
2025-10-05,0.122896074638788,0.0640298400545373,0.189731908623884,0.128582210485103,0.0605311317775257,0.211078348735736,NA,NA,NA,0.168331423842946,0.0752501852733337,0.281329287991674,0.120822237895248,0.0415137506128361,0.222649829416373,0.0505358393261255,0.0126145948103345,0.104300279171427,0.60110455605754,0.568029242119399,0.633538843369552,0,0,0,0.135904476938488,0.114719877836775,0.15865124174877,0.13528979472455,0.116322663099151,0.155121112549753,0.127701172279422,0.103929358747366,0.153397570498511,6.29300783019487,5.7411666429714,6.55461462341896,5.865,5,6,NA,NA,NA,5.973,6,6,5.557,5,6,9.427,9,10
2025-10-06,0.112569601737297,0.0538693588028694,0.179563106088762,0.117558076993964,0.0506847376867523,0.200808770763972,NA,NA,NA,0.154999495330234,0.0650988154546998,0.264511234363614,0.110786006844042,0.0351330233250023,0.210425984135775,0.04640993930967,0.0102695217868513,0.0973320835373038,0.60099156913117,0.566962204337938,0.633382062415688,0,0,0,0.135925786423474,0.114795339916814,0.159028259673022,0.135347168299946,0.116222853798291,0.155259757660994,0.127735476145409,0.103932729156271,0.153638751104076,6.26985290088231,5.67079816601153,6.54551477528571,5.85,5,6,NA,NA,NA,5.969,6,6,5.57,5,6,9.304,9,10
2025-10-07,0.103528733548264,0.0354638249800474,0.182157639184257,0.10831570108489,0.0338732705595468,0.199087307820207,NA,NA,NA,0.141650643282026,0.0448365758601964,0.262967934998186,0.102282575234945,0.0239421406753615,0.207179098555212,0.042529177757778,0.00661834636232875,0.095114059813975,0.600957294632699,0.565569256585922,0.633243532883736,0,0,0,0.135930604755489,0.114906422268893,0.159123326416507,0.135358478201459,0.116117129004469,0.155448995248739,0.127753622410353,0.103907420450652,0.153388771362551,6.27850539603341,5.6800818333124,6.5246621157032,5.884,5,6,NA,NA,NA,5.997,6,6,5.628,5,6,9.119,9,10
2025-10-08,0.0997060582858067,0.0221998577454504,0.19258744868254,0.104664708992249,0.0206145834075564,0.212035320388933,NA,NA,NA,0.134659936395874,0.0295734985393694,0.268219295021354,0.0990711524709382,0.0156398172911846,0.209497069136501,0.0408017958089081,0.00423118030745225,0.0933530373461463,0.600974729792088,0.566348242645212,0.633235209722356,0,0,0,0.135918129451079,0.114914254960314,0.158914142051472,0.135351538303256,0.115763314969427,0.155287646740896,0.127755602453577,0.1037599844664,0.152849184428754,6.23844740718374,5.64531264453166,6.45058337575454,5.873,5,6,NA,NA,NA,5.991,6,6,5.647,5,6,8.845,8,9
2025-10-09,0.098169976461722,0.0133169804619815,0.208466968945432,0.103450364715045,0.0123408987627094,0.224948495279251,NA,NA,NA,0.130974838164718,0.0175731720755345,0.279565581709882,0.0978999415092286,0.00952109533433172,0.224933095172275,0.0397678515209226,0.00261345414151275,0.0953179046817134,0.600981124813354,0.565969637899691,0.633215182418148,0,0,0,0.135896755341517,0.114707757490149,0.158652859304427,0.13536428594038,0.115900744622564,0.15537159812603,0.12775783390475,0.103742280754903,0.15333511815871,6.18721992871354,5.623807438828,6.40954336670867,5.898,5,6,NA,NA,NA,5.972,6,6,5.653,5,6,8.343,8,9
2025-10-10,0.0979038603902383,0.00910051391017363,0.220233186198107,0.103458105662916,0.00815659023765173,0.239721049949204,NA,NA,NA,0.129283225116916,0.0116842508509401,0.295113523069288,0.0979493522627932,0.00615333123573114,0.238236830054864,0.0395162647588228,0.00196449264233573,0.0996426517957193,0.600957229942029,0.564969593470971,0.633979795306847,0,0,0,0.135883349261841,0.114463765134793,0.158435558472712,0.135394406002586,0.115918423762396,0.155831777020994,0.127765014793544,0.103675181177789,0.153342015221779,6.12961158662368,5.60125054950707,6.29925569457061,5.891,5,6,NA,NA,NA,5.958,6,6,5.645,5,6,7.951,8,8
